perfil_key,nacionalidade,genero,idade,escolaridade,renda_familiar,viajando_sozinho,motivo_da_viagem,quantidade_de_viagens_nos_ultimos_12_meses,ja_embarcou_desembarcou_antes_no_aeroporto,possui_deficiencia,utiliza_recurso_assistivo,solicitou_assistencia_especial
1,Brasileira,Feminino,18 a 25 anos,Doutorado,Entre 1 e 2 s.m,Sim,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
2,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
3,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
4,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Saúde/Tratamento/Consulta/Exames,2 a 3,Sim,Nenhuma,Não informado,Não informado
5,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
6,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Trabalho,2 a 3,Sim,Nenhuma,Não informado,Não informado
7,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
8,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Lazer,mais de 11,Sim,Nenhuma,Não informado,Não informado
9,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
10,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
11,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Trabalho,NS/NR,Não,Nenhuma,Não informado,Não informado
12,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
13,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
14,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Lazer,2 a 3,Sim,Nenhuma,Não informado,Não informado
15,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
16,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Mudança,2 a 3,Não,Nenhuma,Não informado,Não informado
17,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Sim,Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
18,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Sim,Familiar / Família,2 a 3,Sim,Deficiência Mental/Intelectual,Não informado,Não quis
19,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Sim,Familiar / Família,4 a 5,Não,Nenhuma,Não informado,Não informado
20,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
21,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Outros - Jurídico / Embaixada,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
22,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Outros - Saúde/Tratamento/Consulta/Exames,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
23,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Trabalho,2 a 3,Não,Nenhuma,Não informado,Não informado
24,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 10 e 20 SM,Sim,Familiar / Família,mais de 11,Sim,Nenhuma,Não informado,Não informado
25,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 10 e 20 SM,Sim,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
26,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 SM,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
27,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 SM,Não,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
28,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 SM,Sim,Lazer,4 a 5,Não,Nenhuma,Não informado,Não informado
29,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 s.m,Não,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
30,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 s.m,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
31,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 4 e 10 SM,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
32,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 4 e 10 SM,Sim,Trabalho,4 a 5,Não,Nenhuma,Não informado,Não informado
33,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 4 e 10 s.m,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
34,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Prefiro não informar,Não,Outros - Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
35,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Prefiro não informar,Sim,Lazer,mais de 11,Sim,Nenhuma,Não informado,Não informado
36,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Prefiro não informar,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
37,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
38,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,2 a 3,Não,Nenhuma,Não informado,Não informado
39,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,4 a 5,Não,Nenhuma,Não informado,Não informado
40,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
41,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer e Trabalho,2 a 3,Sim,Nenhuma,Não informado,Não informado
42,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer e Trabalho,4 a 5,Sim,Nenhuma,Não informado,Não informado
43,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
44,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Mudança,4 a 5,Sim,Nenhuma,Não informado,Não informado
45,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Outros - Estudos/Congressos/Seminários/Palestras,4 a 5,Não,Nenhuma,Não informado,Não informado
46,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Outros - Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
47,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Outros - Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
48,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Outros - Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
49,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Outros - Saúde/Tratamento/Consulta/Exames,2 a 3,Não,Nenhuma,Não informado,Não informado
50,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Outros - Saúde/Tratamento/Consulta/Exames,4 a 5,Sim,Nenhuma,Não informado,Não informado
51,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
52,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Trabalho,2 a 3,Não,Nenhuma,Não informado,Não informado
53,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Trabalho,6 a 10,Não,Nenhuma,Não informado,Não informado
54,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Trabalho,6 a 10,Sim,Nenhuma,Não informado,Não informado
55,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Estudos/Congressos/Seminários/Palestras,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
56,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Estudos/Congressos/Seminários/Palestras,2 a 3,Sim,Nenhuma,Não informado,Não informado
57,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Estudos/Congressos/Seminários/Palestras,6 a 10,Sim,Nenhuma,Não informado,Não informado
58,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
59,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
60,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Familiar / Família,2 a 3,Sim,Nenhuma,Não informado,Não informado
61,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Funeral / Óbito,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
62,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
63,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Lazer,2 a 3,Não,Nenhuma,Não informado,Não informado
64,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Lazer,2 a 3,Sim,Nenhuma,Não informado,Não informado
65,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Lazer,4 a 5,Sim,Nenhuma,Não informado,Não informado
66,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
67,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
68,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Mudança,2 a 3,Sim,Nenhuma,Não informado,Não informado
69,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Esporte/Campeonato/Competição,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
70,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Estudos/Congressos/Seminários/Palestras,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
71,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Estudos/Congressos/Seminários/Palestras,2 a 3,Não,Nenhuma,Não informado,Não informado
72,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Estudos/Congressos/Seminários/Palestras,2 a 3,Sim,Nenhuma,Não informado,Não informado
73,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Estudos/Congressos/Seminários/Palestras,4 a 5,Sim,Nenhuma,Não informado,Não informado
74,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
75,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
76,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Familiar / Família,2 a 3,Sim,Nenhuma,Não informado,Não informado
77,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Familiar / Família,4 a 5,Sim,Nenhuma,Não informado,Não informado
78,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Familiar / Família,6 a 10,Sim,Nenhuma,Não informado,Não informado
79,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
80,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Outros - Mudança,4 a 5,Não,Nenhuma,Não informado,Não informado
81,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Saúde/Tratamento/Consulta/Exames,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
82,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
83,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Trabalho,2 a 3,Não,Nenhuma,Não informado,Não informado
84,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Trabalho,2 a 3,Sim,Nenhuma,Não informado,Não informado
85,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Trabalho,4 a 5,Não,Nenhuma,Não informado,Não informado
86,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,Trabalho,4 a 5,Sim,Nenhuma,Não informado,Não informado
87,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Sim,"Veio visitar família , agora está retornando para casa",2 a 3,Sim,Nenhuma,Não informado,Não informado
88,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Estudos/Congressos/Seminários/Palestras,1 - primeira viagem,Não informado,Deficiência Física / Motora,Patinete elétrico,Sim: com menos de 2 dias de antecedência
89,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Estudos/Congressos/Seminários/Palestras,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
90,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
91,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
92,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Familiar / Família,2 a 3,Sim,Nenhuma,Não informado,Não informado
93,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer,1 - primeira viagem,Não informado,Deficiência Física / Motora,Nenhum,Não quis
94,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
95,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer,2 a 3,Não,Nenhuma,Não informado,Não informado
96,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer,2 a 3,Sim,Nenhuma,Não informado,Não informado
97,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer,4 a 5,Não,Nenhuma,Não informado,Não informado
98,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer,4 a 5,Sim,Nenhuma,Não informado,Não informado
99,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
100,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Lazer e Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
101,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
102,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Mudança,2 a 3,Sim,Nenhuma,Não informado,Não informado
103,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Mudança de estado.,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
104,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Trabalho,2 a 3,Não,Nenhuma,Não informado,Não informado
105,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Trabalho,2 a 3,Sim,Nenhuma,Não informado,Não informado
106,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Não,Trabalho,4 a 5,Sim,Nenhuma,Não informado,Não informado
107,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Esporte/Campeonato/Competição,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
108,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Esporte/Campeonato/Competição,mais de 11,Não,Nenhuma,Não informado,Não informado
109,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Estudos/Congressos/Seminários/Palestras,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
110,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Estudos/Congressos/Seminários/Palestras,2 a 3,Não,Nenhuma,Não informado,Não informado
111,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Estudos/Congressos/Seminários/Palestras,4 a 5,Não,Nenhuma,Não informado,Não informado
112,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Estudos/Congressos/Seminários/Palestras,4 a 5,Sim,Nenhuma,Não informado,Não informado
113,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
114,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
115,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Familiar / Família,2 a 3,Sim,Nenhuma,Não informado,Não informado
116,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Familiar / Família,4 a 5,Não,Nenhuma,Não informado,Não informado
117,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Familiar / Família,4 a 5,Sim,Nenhuma,Não informado,Não informado
118,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Familiar / Família,mais de 11,Sim,Nenhuma,Não informado,Não informado
119,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Jurídico / Embaixada,4 a 5,Sim,Nenhuma,Não informado,Não informado
120,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
121,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Lazer,2 a 3,Não,Nenhuma,Não informado,Não informado
122,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Lazer,2 a 3,Sim,Nenhuma,Não informado,Não informado
123,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Lazer,4 a 5,Sim,Nenhuma,Não informado,Não informado
124,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Lazer,6 a 10,Não,Nenhuma,Não informado,Não informado
125,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
126,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Lazer e Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
127,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
128,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Mudança,2 a 3,Sim,Nenhuma,Não informado,Não informado
129,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Saúde/Tratamento/Consulta/Exames,2 a 3,Não,Nenhuma,Não informado,Não informado
130,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Tirar um Visto,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
131,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
132,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Trabalho,2 a 3,Não,Nenhuma,Não informado,Não informado
133,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Trabalho,2 a 3,Sim,Nenhuma,Não informado,Não informado
134,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Trabalho,4 a 5,Sim,Nenhuma,Não informado,Não informado
135,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Trabalho,6 a 10,Sim,Nenhuma,Não informado,Não informado
136,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Trabalho,mais de 11,Sim,Nenhuma,Não informado,Não informado
137,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Trabalho e estudos,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
138,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 SM,Sim,Viagem missionária,2 a 3,Não,Nenhuma,Não informado,Não informado
139,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
140,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Lazer,2 a 3,Não,Nenhuma,Não informado,Não informado
141,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Lazer,2 a 3,Sim,Nenhuma,Não informado,Não informado
142,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Lazer,4 a 5,Não,Nenhuma,Não informado,Não informado
143,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Lazer e Trabalho,2 a 3,Não,Nenhuma,Não informado,Não informado
144,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Outros - Estudos/Congressos/Seminários/Palestras,2 a 3,Não,Nenhuma,Não informado,Não informado
145,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Outros - Estudos/Congressos/Seminários/Palestras,4 a 5,Não,Nenhuma,Não informado,Não informado
146,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Outros - Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
147,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Outros - Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
148,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Outros - Mudança,6 a 10,Não,Nenhuma,Não informado,Não informado
149,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
150,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Trabalho,2 a 3,Sim,Nenhuma,Não informado,Não informado
151,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Não,Trabalho,4 a 5,Sim,Nenhuma,Não informado,Não informado
152,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
153,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Lazer,2 a 3,Não,Nenhuma,Não informado,Não informado
154,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Lazer,2 a 3,Sim,Nenhuma,Não informado,Não informado
155,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Lazer,4 a 5,Não,Nenhuma,Não informado,Não informado
156,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Lazer,4 a 5,Sim,Nenhuma,Não informado,Não informado
157,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Lazer,6 a 10,Não,Nenhuma,Não informado,Não informado
158,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Outros - Estudos/Congressos/Seminários/Palestras,2 a 3,Não,Nenhuma,Não informado,Não informado
159,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Outros - Estudos/Congressos/Seminários/Palestras,2 a 3,Sim,Nenhuma,Não informado,Não informado
160,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Outros - Estudos/Congressos/Seminários/Palestras,4 a 5,Não,Nenhuma,Não informado,Não informado
161,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Outros - Estudos/Congressos/Seminários/Palestras,6 a 10,Sim,Nenhuma,Não informado,Não informado
162,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Outros - Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
163,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Outros - Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
164,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 s.m,Sim,Outros - Familiar / Família,2 a 3,Sim,Nenhuma,Não informado,Não informado
