codigo_planilha,campo_original,coluna_normalizada
B3.c,INTEGRIDADE DA BAGAGEM,integridade_da_bagagem
B4,ATENDIMENTO DA CIA. AÉREA2,atendimento_da_cia_aerea2
G1,SATISFAÇÃO GERAL,satisfacao_geral
G2,MOTIVO,motivo
P1,NACIONALIDADE,nacionalidade
P2,GÊNERO,genero
P3,IDADE,idade
P4,ESCOLARIDADE,escolaridade
P5,RENDA FAMILIAR,renda_familiar
P6,VIAJANDO SOZINHO,viajando_sozinho
P7,NÚMERO DE ACOMPANHANTES,numero_de_acompanhantes
P8,MOTIVO DA VIAGEM,motivo_da_viagem
P9,QUANTIDADE DE VIAGENS NOS ÚLTIMOS 12 MESES,quantidade_de_viagens_nos_ultimos_12_meses
P10(E)/P11(D),JÁ EMBARCOU/DESEMBARCOU ANTES NO AEROPORTO,ja_embarcou_desembarcou_antes_no_aeroporto
P13,ANTECEDÊNCIA,antecedencia
P14,TEMPO DE ESPERA,tempo_de_espera
P12,COMENTÁRIOS ADICIONAIS,comentarios_adicionais
