indicador_key,codigo_indicador,campo_original,categoria,tipo_indicador,somente_pcd,coluna_normalizada
53,R6.b,FACILIDADE DE ACESSO À REDE,Infraestrutura,subindicador,não,facilidade_de_acesso_a_rede
54,R8,SANITÁRIOS,Infraestrutura,macro,não,sanitarios
55,R8.a,QUANTIDADE DE BANHEIROS,Infraestrutura,subindicador,não,quantidade_de_banheiros
56,R8.b,LIMPEZA DOS BANHEIROS,Infraestrutura,subindicador,não,limpeza_dos_banheiros
57,R8.c,MANUTENÇÃO GERAL DOS SANITÁRIOS,Infraestrutura,subindicador,não,manutencao_geral_dos_sanitarios
58,R9,LIMPEZA GERAL DO AEROPORTO,Infraestrutura,macro,não,limpeza_geral_do_aeroporto
59,S1,PROCESSO DE INSPEÇÃO DE SEGURANÇA,Inspeção de segurança,macro,não,processo_de_inspecao_de_seguranca
60,S1.a,TEMPO DE ESPERA EM FILA,Inspeção de segurança,subindicador,não,tempo_de_espera_em_fila
61,S1.b,ORGANIZAÇÃO DAS FILAS2,Inspeção de segurança,subindicador,não,organizacao_das_filas2
62,S1.c,ATENDIMENTO DOS FUNCIONÁRIOS,Inspeção de segurança,subindicador,não,atendimento_dos_funcionarios
